[2026-06-10T08:02:01.212Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fexample.com → 200 (75ms, 571B)
[2026-06-10T08:02:01.214Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2Fplaylist%3Flist%3DUULFQXWP4gEdEwlb6vodwrU75A → pending (?ms, ?B)
[2026-06-10T08:02:01.287Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:02:02.054Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:02:02.054Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:02:03.160Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2Ffeeds%2Fvideos.xml%3Fchannel_id%3DUCQXWP4gEdEwlb6vodwrU75A → 200 (44ms, 40063B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/D4KmhzIW31o/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/X4h7LjQNidA/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/bmFzf93EReg/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/CPNLIbAYMkc/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/23h5kjvrr_U/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/lE7P8uxO2bs/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/i7Mz-7DH8Wc/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/Y2lQDRtGyO0/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/6-jngeb4nqs/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.220Z] GET https://i.ytimg.com/vi/3-DY-Eli7Ws/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.221Z] GET https://i.ytimg.com/vi/-EcW6u_yAqQ/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.221Z] GET https://i.ytimg.com/vi/1E3fCbUbrzA/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.221Z] GET https://i.ytimg.com/vi/LJScGOZGgD4/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.221Z] GET https://i.ytimg.com/vi/M2BhRtJVQ2M/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:03.221Z] GET https://i.ytimg.com/vi/OwjaRPnMYkw/hqdefault.jpg → pending (?ms, ?B)
[2026-06-10T08:02:31.216Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:02:32.016Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:02:32.016Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:03:01.218Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:03:01.983Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:03:01.983Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:03:31.217Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:03:32.056Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:03:32.056Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:04:01.216Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:04:01.965Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:04:01.965Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:04:31.218Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:04:31.984Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:04:31.984Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
